Method,Coverage,coverage
Bayesian Random,"5% Observed, 5 Collars",0.9725
Bayesian Random,"10% Observed, 10 Collars",0.969
Bayesian Random,"20% Observed, 20 Collars",0.962
Bayesian Random,"40% Observed, 30 Collars",0.954
Bayesian Random,"80% Observed, 50 Collars",0.924
Bayesian Fixed,"5% Observed, 5 Collars",0.7235
Bayesian Fixed,"10% Observed, 10 Collars",0.8105
Bayesian Fixed,"20% Observed, 20 Collars",0.9105
Bayesian Fixed,"40% Observed, 30 Collars",0.914
Bayesian Fixed,"80% Observed, 50 Collars",0.938
Frequentist Retro,"5% Observed, 5 Collars",0.5305
Frequentist Retro,"10% Observed, 10 Collars",0.774
Frequentist Retro,"20% Observed, 20 Collars",0.9255
Frequentist Retro,"40% Observed, 30 Collars",0.956
Frequentist Retro,"80% Observed, 50 Collars",0.964
